asb,"asset_type","cis_control","cis_safeguard_id",description,ig1,ig2,ig3,recommendation,relationship,"security_function","security_principal",title
"AM-1",Applications,2,"2.4","Utilize software inventory tools, when possible, throughout the enterprise to automate the discovery and documentation of installed software. ",0,1,1,"Track asset inventory and their risks",Superset,Detect,"Track your asset inventory by query and discover all your cloud resources. Logically organize your assets by  tagging and grouping your assets based on their service nature, location, or other characteristics. Ensure your security organization have access to a continuously updated inventory of assets.

Ensure your security organization can monitor the risks of the cloud assets by which security insights and risks are always aggregated centrally.","Utilize Automated Software Inventory Tools"
"AM-2",Applications,2,"2.5","Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently.",0,1,1,"Use only approved services
",Superset,Protect,"Ensure that only approved cloud services can be used by auditing and restricting which services users can provision in the environment.","Allowlist Authorized Software"
"AM-5",Applications,2,"2.5","Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently.",0,1,1,"Use only approved applications in virtual machine",Superset,Protect,"Ensure that only authorized software executes by creating an allow list and block the unauthorized software from executing in your environment.","Allowlist Authorized Software"
"AM-2",Applications,2,"2.6"," Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx, .so, etc., files, are allowed to load into a system process. Block unauthorized libraries from loading into a system process. Reassess bi-annually, or more frequently.",0,1,1,"Use only approved services
",Superset,Protect,"Ensure that only approved cloud services can be used by auditing and restricting which services users can provision in the environment.","Allowlist Authorized Libraries"
"AM-5",Applications,2,"2.6"," Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx, .so, etc., files, are allowed to load into a system process. Block unauthorized libraries from loading into a system process. Reassess bi-annually, or more frequently.",0,1,1,"Use only approved applications in virtual machine",Superset,Protect,"Ensure that only authorized software executes by creating an allow list and block the unauthorized software from executing in your environment.","Allowlist Authorized Libraries"
"AM-2",Applications,2,"2.7","Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, .py, etc., files, are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently.",0,0,1,"Use only approved services
",Superset,Protect,"Ensure that only approved cloud services can be used by auditing and restricting which services users can provision in the environment.","Allowlist Authorized Scripts"
"AM-5",Applications,2,"2.7","Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, .py, etc., files, are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently.",0,0,1,"Use only approved applications in virtual machine",Superset,Protect,"Ensure that only authorized software executes by creating an allow list and block the unauthorized software from executing in your environment.","Allowlist Authorized Scripts"
"GS-3",Data,3,"3.1","Establish and maintain a data management process. In the process, address data sensitivity, data owner, handling of data, data retention limits, and disposal requirements, based on sensitivity and retention standards for the enterprise. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Define and implement data protection strategy",Equivalent,Identify,"N/A
","Establish and Maintain a Data Management Process"
"DP-1",Data,3,"3.2","Establish and maintain a data inventory, based on the enterprise’s data management process. Inventory sensitive data, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data.",1,1,1,"Discover, classify, and label sensitive data

",Subset,Identify,"Establish and maintain an inventory of the sensitive data based on the defined sensitive data scope. Use tools to discover, classify and label the in scope sensitive data.","Establish and Maintain a Data Inventory"
"IM-7",Data,3,"3.3","Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",1,1,1,"Restrict resource access based on  conditions",Subset,Protect,"Explicitly validate trusted signals to allow or deny user access to resources as part of a zero-trust access model. Signals to validate should include strong authentication of user account, behavioral analytics of user account, device trustworthiness, user or group membership, locations and so on.","Configure Data Access Control Lists"
"PA-7",Data,3,"3.3","Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",1,1,1,"Follow just enough administration (least privilege) principle",Superset,Protect,"Follow the just enough administration (least privilege) principle to manage the permission at fine-grained level. Use features such as role-based access control (RBAC) to manage  resource access through role assignments.","Configure Data Access Control Lists"
"AM-4",Data,3,"3.3","Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",1,1,1,"Limit access to asset management
",Superset,Protect,"Limit users' access to asset management features such to avoid accidental or malicious modification of the assets in your cloud.","Configure Data Access Control Lists"
,Data,3,"3.4","Retain data according to the enterprise’s data management process. Data retention must include both minimum and maximum timelines.",1,1,1,,,Protect,,"Enforce Data Retention"
,Data,3,"3.5","Securely dispose of data as outlined in the enterprise’s data management process. Ensure the disposal process and method are commensurate with the data sensitivity.",1,1,1,,,Protect,,"Securely Dispose of Data"
,Devices,3,"3.6","Encrypt data on end-user devices containing sensitive data. Example implementations can include: Windows BitLocker®, Apple FileVault®, Linux® dm-crypt.",1,1,1,,,Protect,,"Encrypt Data on End-User Devices"
"GS-3",Data,3,"3.7","Establish and maintain an overall data classification scheme for the enterprise. Enterprises may use labels, such as “Sensitive,” “Confidential,” and “Public,” and classify their data according to those labels. Review and update the classification scheme annually, or when significant enterprise changes occur that could impact this Safeguard.",0,1,1,"Define and implement data protection strategy",Subset,Identify,"N/A
","Establish and Maintain a Data Classification Scheme"
"DP-1",Data,3,"3.7","Establish and maintain an overall data classification scheme for the enterprise. Enterprises may use labels, such as “Sensitive,” “Confidential,” and “Public,” and classify their data according to those labels. Review and update the classification scheme annually, or when significant enterprise changes occur that could impact this Safeguard.",0,1,1,"Discover, classify, and label sensitive data

",Subset,Identify,"Establish and maintain an inventory of the sensitive data based on the defined sensitive data scope. Use tools to discover, classify and label the in scope sensitive data.","Establish and Maintain a Data Classification Scheme"
,Data,3,"3.8","Document data flows. Data flow documentation includes service provider data flows and should be based on the enterprise’s data management process. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",0,1,1,,,Identify,,"Document Data Flows"
,Data,3,"3.9","Encrypt data on removable media.",0,1,1,,,Protect,,"Encrypt Data on Removable Media"
"DP-3",Data,3,"3.10","Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).",0,1,1,"Encrypt sensitive data in transit",Equivalent,Protect,"To complement access controls, data in transit should be protected against 'out of band' attacks (such as traffic capture) using encryption to ensure that attackers cannot easily read or modify the data. 

Set the network boundary and service scope where data in transit encryption is mandatory within and outside of the network. While this is optional for traffic on private networks, this is critical for traffic on external and public networks. ","Encrypt Sensitive Data in Transit"
"DP-4",Data,3,"3.11","Encrypt sensitive data at rest on servers, applications, and databases containing sensitive data. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data. ",0,1,1,"Enable data at rest encryption by default",Equivalent,Protect,"To complement access controls, data at rest should be protected against 'out of band' attacks (such as accessing underlying storage) using encryption. This helps ensure that attackers cannot easily read or modify the data.","Encrypt Sensitive Data at Rest"
"DP-5",Data,3,"3.11","Encrypt sensitive data at rest on servers, applications, and databases containing sensitive data. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data. ",0,1,1,"Use customer-managed key option in data at rest encryption when required",Superset,Protect,"When required due to regulatory compliance reason, define the use case and service scope where customer-managed key option is needed. Enable and implement data at rest encryption using customer-managed key in services.


","Encrypt Sensitive Data at Rest"
"NS-1",Network,3,"3.12","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.",0,1,1,"Establish network segmentation boundaries",Equivalent,Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. ","Segment Data Processing and Storage Based on Sensitivity"
"NS-2",Network,3,"3.12","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.",0,1,1,"Secure cloud services with network controls",Superset,Protect,"Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.","Segment Data Processing and Storage Based on Sensitivity"
"GS-2",Network,3,"3.12","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.",0,1,1,"Define and implement enterprise segmentation/separation of duties strategy",Subset,Protect,"N/A
","Segment Data Processing and Storage Based on Sensitivity"
"GS-3",Network,3,"3.12","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.",0,1,1,"Define and implement data protection strategy",Subset,Protect,"N/A
","Segment Data Processing and Storage Based on Sensitivity"
"DP-1",Data,3,"3.13","Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's sensitive data inventory.",0,0,1,"Discover, classify, and label sensitive data

",Superset,Protect,"Establish and maintain an inventory of the sensitive data based on the defined sensitive data scope. Use tools to discover, classify and label the in scope sensitive data.","Deploy a Data Loss Prevention Solution"
"DP-2",Data,3,"3.13","Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's sensitive data inventory.",0,0,1,"Monitor anomalies and threats targeting sensitive data",Subset,Protect,"Monitor for anomalies around sensitive data, such as unauthorized transfer of data to locations outside of enterprise visibility and control. This typically involves monitoring for anomalous activities (large or unusual transfers) that could indicate unauthorized data exfiltration. ","Deploy a Data Loss Prevention Solution"
"NS-1",Data,3,"3.14","Log sensitive data access, including modification and disposal. ",0,0,1,"Establish network segmentation boundaries",Superset,Detect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. ","Log Sensitive Data Access"
"PV-1",Applications,4,"4.1","Establish and maintain a secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Define and establish secure configurations",Superset,Protect,"Define the secure configuration baselines for different resource types in the cloud. Alternatively, use configuration management tools to establish the configuration baseline automatically before or during resource deployment so the environment can be compliant by default after the deployment. ","Establish and Maintain a Secure Configuration Process"
"PV-2",Applications,4,"4.1","Establish and maintain a secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Audit and enforce secure configurations",Superset,Protect,"Continuously monitor and alert when there is a deviation from the defined configuration baseline. Enforce the desired configuration according to the baseline configuration by denying the non-compliant configuration or deploy a configuration.","Establish and Maintain a Secure Configuration Process"
"PV-3",Applications,4,"4.1","Establish and maintain a secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Define and establish secure configurations for compute resources",Superset,Protect,"Define the secure configuration baselines for your compute resources, such as VMs and containers. Use custom image to build the desired configuration baseline into the compute resource image template. Alternatively, use configuration management tools to establish the configuration baseline automatically before or during the compute resource deployment so the environment can be compliant by default after the deployment. ","Establish and Maintain a Secure Configuration Process"
"PV-4",Applications,4,"4.1","Establish and maintain a secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Audit and enforce secure configurations for compute resources",Superset,Protect,"Continuously monitor and alert when there is a deviation from the defined configuration baseline in your compute resources. Enforce the desired configuration according to the baseline configuration by denying the non-compliant configuration or deploy a configuration in compute resources.","Establish and Maintain a Secure Configuration Process"
"GS-5",Applications,4,"4.1","Establish and maintain a secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Define and implement  security posture management strategy",Subset,Protect,"N/A
","Establish and Maintain a Secure Configuration Process"
"PV-1",Network,4,"4.2","Establish and maintain a secure configuration process for network devices. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Define and establish secure configurations",Subset,Protect,"Define the secure configuration baselines for different resource types in the cloud. Alternatively, use configuration management tools to establish the configuration baseline automatically before or during resource deployment so the environment can be compliant by default after the deployment. ","Establish and Maintain a Secure Configuration Process for Network Infrastructure"
"PV-2",Network,4,"4.2","Establish and maintain a secure configuration process for network devices. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Audit and enforce secure configurations",Subset,Protect,"Continuously monitor and alert when there is a deviation from the defined configuration baseline. Enforce the desired configuration according to the baseline configuration by denying the non-compliant configuration or deploy a configuration.","Establish and Maintain a Secure Configuration Process for Network Infrastructure"
"GS-5",Network,4,"4.2","Establish and maintain a secure configuration process for network devices. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Define and implement  security posture management strategy",Subset,Protect,"N/A
","Establish and Maintain a Secure Configuration Process for Network Infrastructure"
,Users,4,"4.3","Configure automatic session locking on enterprise assets after a defined period of inactivity. For general purpose operating systems, the period must not exceed 15 minutes. For mobile end-user devices, the period must not exceed 2 minutes.",1,1,1,,,Protect,,"Configure Automatic Session Locking on Enterprise Assets"
"NS-1",Devices,4,"4.4","Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.",1,1,1,"Establish network segmentation boundaries",Subset,Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. ","Implement and Manage a Firewall on Servers"
"NS-2",Devices,4,"4.4","Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.",1,1,1,"Secure cloud services with network controls",Subset,Protect,"Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.","Implement and Manage a Firewall on Servers"
"NS-3",Devices,4,"4.4","Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.",1,1,1,"Deploy firewall at the edge of enterprise network",Subset,Protect,"Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  ","Implement and Manage a Firewall on Servers"
"NS-7",Devices,4,"4.4","Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.",1,1,1,"Simplify network security configuration",Subset,Protect,"When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.","Implement and Manage a Firewall on Servers"
"NS-8",Devices,4,"4.4","Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.",1,1,1,"Detect and disable insecure services and  protocols",Superset,Protect,"Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Implement and Manage a Firewall on Servers"
"GS-9",Devices,4,"4.4","Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.",1,1,1,"Define and implement  endpoint security strategy",Subset,Protect,"N/A
","Implement and Manage a Firewall on Servers"
,Devices,4,"4.5","Implement and manage a host-based firewall or port-filtering tool on end-user devices, with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed.",1,1,1,,,Protect,,"Implement and Manage a Firewall on End-User Devices"
,Network,4,"4.6","Securely manage enterprise assets and software. Example implementations include managing configuration through version-controlled-infrastructure-as-code and accessing administrative interfaces over secure network protocols, such as Secure Shell (SSH) and Hypertext Transfer Protocol Secure (HTTPS). Do not use insecure management protocols, such as Telnet (Teletype Network) and HTTP, unless operationally essential.",1,1,1,,,Protect,,"Securely Manage Enterprise Assets and Software"
,Users,4,"4.7","Manage default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts. Example implementations can include: disabling default accounts or making them unusable.",1,1,1,,,Protect,,"Manage Default Accounts on Enterprise Assets and Software"
"NS-3",Devices,4,"4.8","Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function.",0,1,1,"Deploy firewall at the edge of enterprise network",Subset,Protect,"Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  ","Uninstall or Disable Unnecessary Services on Enterprise Assets and Software"
"NS-8",Devices,4,"4.8","Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function.",0,1,1,"Detect and disable insecure services and  protocols",Subset,Protect,"Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Uninstall or Disable Unnecessary Services on Enterprise Assets and Software"
"AM-2",Devices,4,"4.8","Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function.",0,1,1,"Use only approved services
",Subset,Protect,"Ensure that only approved cloud services can be used by auditing and restricting which services users can provision in the environment.","Uninstall or Disable Unnecessary Services on Enterprise Assets and Software"
"AM-5",Devices,4,"4.8","Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function.",0,1,1,"Use only approved applications in virtual machine",Superset,Protect,"Ensure that only authorized software executes by creating an allow list and block the unauthorized software from executing in your environment.","Uninstall or Disable Unnecessary Services on Enterprise Assets and Software"
"NS-10",Devices,4,"4.9","Configure trusted DNS servers on enterprise assets. Example implementations include: configuring assets to use enterprise-controlled DNS servers and/or reputable externally accessible DNS servers.",0,1,1,"Ensure Domain Name System (DNS) security",Equivalent,Protect,"Ensure Domain Name System (DNS) security configuration protects against known risks:
- Use trusted authoritative and recursive DNS services across your cloud environment to ensure the client (such as operating systems and applications) receive the correct resolution result. 
- Separate the public and private DNS resolution so the DNS resolution process for the private network can be isolated from the public network.
- Ensure your DNS security strategy also includes mitigations against common attacks like dangling DNS, DNS amplifications attacks, DNS poisoning and spoofing, etc.","Configure Trusted DNS Servers on Enterprise Assets"
,Devices,4,"4.10","Enforce automatic device lockout following a predetermined threshold of local failed authentication attempts on portable end-user devices, where supported. For laptops, do not allow more than 20 failed authentication attempts; for tablets and smartphones, no more than 10 failed authentication attempts. Example implementations include Microsoft® InTune Device Lock and Apple® Configuration Profile maxFailedAttempts.",0,1,1,,,Respond,,"Enforce Automatic Device Lockout on Portable End-User Devices"
,Devices,4,"4.11","Remotely wipe enterprise data from enterprise-owned portable end-user devices when deemed appropriate such as lost or stolen devices, or when an individual no longer supports the enterprise.",0,1,1,,,Protect,,"Enforce Remote Wipe Capability on Portable End-User Devices"
,Devices,4,"4.12","Ensure separate enterprise workspaces are used on mobile end-user devices, where supported. Example implementations include using an Apple® Configuration Profile or Android™ Work Profile to separate enterprise applications and data from personal applications and data.",0,0,1,,,Protect,,"Separate Enterprise Workspaces on Mobile End-User Devices"
"PA-4",Users,5,"5.1","Establish and maintain an inventory of all accounts managed in the enterprise. The inventory must include both user and administrator accounts. The inventory, at a minimum, should contain the person’s name, username, start/stop dates, and department. Validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently.",1,1,1,"Review and reconcile user access regularly",Subset,Identify,"Perform periodic review of privileged accounts and entitlements at the different resource tiers regularly. Ensure the accounts and their level of access are valid.","Establish and Maintain an Inventory of Accounts"
,Users,5,"5.2","Use unique passwords for all enterprise assets. Best practice implementation includes, at a minimum, an 8-character password for accounts using MFA and a 14-character password for accounts not using MFA. ",1,1,1,,,Protect,,"Use Unique Passwords"
"PA-4",Users,5,"5.3","Delete or disable any dormant accounts after a period of 45 days of inactivity, where supported.",1,1,1,"Review and reconcile user access regularly",Subset,Respond,"Perform periodic review of privileged accounts and entitlements at the different resource tiers regularly. Ensure the accounts and their level of access are valid.","Disable Dormant Accounts"
"IM-2",Users,5,"5.4","Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account.",1,1,1,"Protect identity and authentication system",Subset,Protect,"Secure your identity and authentication system as a high priority in your organization's cloud security practice. Common security controls include the follow aspects: 
- Restrict privileged roles and accounts
- Require strong authentication for all privileged access
- Monitor and audit high risk activities","Restrict Administrator Privileges to Dedicated Administrator Accounts"
"PA-1",Users,5,"5.4","Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account.",1,1,1,"Separate and limit highly privileged/administrative users",Superset,Protect,"Ensure you are identifying all high business impact accounts in your cloud's control plane, management plane, and data/workload plane. Limit the number of privileged/administrative accounts.

Ensure to assign privileged accounts with different roles based on the job functions and distinguish these privileged accounts from the regular accounts used for non-privileged tasks. ","Restrict Administrator Privileges to Dedicated Administrator Accounts"
"PA-4",Users,5,"5.5","Establish and maintain an inventory of service accounts. The inventory, at a minimum, must contain department owner, review date, and purpose. Perform service account reviews to validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently.",0,1,1,"Review and reconcile user access regularly",Subset,Identify,"Perform periodic review of privileged accounts and entitlements at the different resource tiers regularly. Ensure the accounts and their level of access are valid.","Establish and Maintain an Inventory of Service Accounts"
