ssphp.use_case.id,ssphp.use_case.foundational_system,ssphp.use_case.savedsearch,ssphp.use_case.short_description,ssphp.cis_benchmark.control.title,ssphp.use_case.title,ssphp.cis_benchmark.control.profile_applicability,ssphp.cis_benchmark.control.level,ssphp.cis_benchmark.control.number,ssphp.cis_benchmark.control.group,ssphp.cis_benchmark.control.description,ssphp.cis_benchmark.control.rationale,ssphp.cis_benchmark.control.impact,ssphp.cis_benchmark.controls.ig1,ssphp.cis_benchmark.controls.ig2,ssphp.cis_benchmark.controls.ig3,ssphp.use_case.framework.ig_1,ssphp.use_case.framework.ig_2,ssphp.use_case.framework.ig_3,ssphp.cis_benchmark.controls.v8,ssphp.cis_benchmark.document.date,ssphp.cis_benchmark.document.name,ssphp.cis_benchmark.document.version,ssphp.cis_benchmark.version,ssphp.metadata.last_updated_by,ssphp.metadata.last_updated_date,ssphp.risk.expectancy,ssphp.risk.impact,ssphp.score.scoring_narrative,ssphp.score.threshold.green,ssphp.score.threshold.orange,ssphp.score.threshold.red,ssphp.score.ciso_priority,ssphp.use_case.control,ssphp.use_case.description
azure_002_cis_2-1-20,Azure,ssphp_use_case_azure_002_cis_2-1-20,'Notify about alerts with the following severity' is Set to 'High',Ensure That 'Notify about alerts with the following severity' is Set to 'High',Azure 002 [CIS 2.1.20],,L1,2.1.20,,Enables emailing security alerts to the subscription owner or other designated security contact.,Enabling security alert emails ensures that security alert emails are received from Microsoft. This ensures that the right people are aware of any potential security issues and are able to mitigate the risk.,-,FALSE,FALSE,TRUE,-,-,13.11,13.11 Tune Security Event Alerting Thresholds,14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
azure_002_cis_2-1-21,Azure,azure_002_cis_2-1-21,Microsoft Defender for Cloud Apps integration,Ensure that Microsoft Defender for Cloud Apps integration with Microsoft Defender for Cloud is Selected,Azure 002 [CIS 2.1.21],Level 2,L2,2.1.21,,This integration setting enables Microsoft Defender for Cloud Apps (formerly 'Microsoft Cloud App Security' or 'MCAS' - see additional info) to communicate with Microsoft Defender for Cloud.,"Microsoft Defender for Cloud offers an additional layer of protection by using Azure Resource Manager events, which is considered to be the control plane for Azure. By analyzing the Azure Resource Manager records, Microsoft Defender for Cloud detects unusual or potentially harmful operations in the Azure subscription environment. Several of the preceding analytics are powered by Microsoft Defender for Cloud Apps. To benefit from these analytics, subscription must have a Cloud App Security license. Microsoft Defender for Cloud Apps works only with Standard Tier subscriptions.",Microsoft Defender for Cloud Apps works with Standard pricing tier Subscription. Choosing the Standard pricing tier of Microsoft Defender for Cloud incurs an additional cost per resource.,FALSE,TRUE,TRUE,-,"7.5, 7.6, 16.11","7.5, 7.6, 13.10, 16.11","7.5 Perform Automated Vulnerability Scans of Internal Enterprise Assets
7.6 Perform Automated Vulnerability Scans of Externally Exposed Enterprise Assets
13.10 Perform Application Layer Filtering
16.11 Leverage Vetted Modules or Services for Application Security Components",14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,06/10/2023 12:53,5,5,"Score is the percentage of accounts where Microsoft Defender for Cloud Apps integration with Microsoft Defender for Cloud is Selected. Best=100, Worst=0.",99,-,-,-,,
azure_002_cis_2-1-22,Azure,azure_002_cis_2-1-22,Microsoft Defender for Endpoint integration with Microsoft Defender for Cloud,Ensure that Microsoft Defender for Endpoint integration with Microsoft Defender for Cloud is selected,Azure 002 [CIS 2.1.22],Level 2,L2,2.1.22,,This integration setting enables Microsoft Defender for Endpoint (formerly 'Advanced Threat Protection' or 'ATP' or 'WDATP' - see additional info) to communicate with Microsoft Defender for Cloud.  IMPORTANT: When enabling integration between DfE & DfC it needs to be taken into account that this will have some side effects that may be undesirable. 1. For server 2019 & above if defender is installed (default for these server SKU's) this will trigger a deployment of the new unified agent and link to any of the extended configuration in the Defender portal. 2. If the new unified agent is required for server SKU's of Win 2016 or Linux and lower there is additional integration that needs to be switched on and agents need to be aligned,"Microsoft Defender for Endpoint integration brings comprehensive Endpoint Detection and Response (EDR) capabilities within Microsoft Defender for Cloud. This integration helps to spot abnormalities, as well as detect and respond to advanced attacks on endpoints monitored by Microsoft Defender for Cloud.MDE works only with Standard Tier subscriptions.",Microsoft Defender for Endpoint works with Standard pricing tier Subscription. Choosing the Standard pricing tier of Microsoft Defender for Cloud incurs an additional cost per resource.,TRUE,TRUE,TRUE,10.1,"7.5, 10.1, 10.6, 13.2","7.5, 10.1, 10.6, 13.2","7.5 Perform Automated Vulnerability Scans of Internal Enterprise Assets
10.1 Deploy and Maintain Anti-Malware Software
10.6 Centrally Manage Anti-Malware Software
13.2 Deploy a Host-Based Intrusion Detection Solution",14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,09/10/2023 08:46,5,5,"Best=100, Worst=0.",99,-,-,-,,
azure_004_cis_4-1-3,Azure,azure_004_cis_4-1-3,SQL Server Transparent Data Encryption,Ensure SQL server's Transparent Data Encryption (TDE) protector is encrypted with Customer-managed key,Azure 004 [CIS 4.1.3],Level 2,L2,4.1.3,,"Transparent Data Encryption (TDE) with Customer-managed key support provides increased transparency and control over the TDE Protector, increased security with an HSM-backed external service, and promotion of separation of duties.With TDE, data is encrypted at rest with a symmetric key (called the database encryption key) stored in the database or data warehouse distribution. To protect this data encryption key (DEK) in the past, only a certificate that the Azure SQL Service managed could be used. Now, with Customer-managed key support for TDE, the DEK can be protected with an asymmetric key that is stored in the Azure Key Vault. The Azure Key Vault is a highly available and scalable cloud-based key store which offers central key management, leverages FIPS 140-2 Level 2 validated hardware security modules (HSMs), and allows separation of management of keys and data for additional security. Based on business needs or criticality of data/databases hosted on a SQL server, it is recommended that the TDE protector is encrypted by a key that is managed by the data owner (Customer-managed key).","Customer-managed key support for Transparent Data Encryption (TDE) allows user control of TDE encryption keys and restricts who can access them and when. Azure Key Vault, Azureâ€™s cloud-based external key management system, is the first key management service where TDE has integrated support for Customer-managed keys. With Customer-managed key support, the database encryption key is protected by an asymmetric key stored in the Key Vault. The asymmetric key is set at the server level and inherited by all databases under that server.","Once TDE protector is encrypted with a Customer-managed key, it transfers entire responsibility of respective key management on to you, and hence you should be more careful about doing any operations on the particular key in order to keep data from corresponding SQL server and Databases hosted accessible.When deploying Customer Managed Keys, it is prudent to ensure that you also deploy an automated toolset for managing these keys (this should include discovery and key rotation), and Keys should be stored in an HSM or hardware backed keystore, such as Azure Key Vault. As far as toolsets go, check with your cryptographic key provider, as they may well provide one as an add-on to their service.",FALSE,TRUE,TRUE,-,3.11,3.11,"3.11 Encrypt Sensitive Data at Rest
",14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,06/10/2023 13:15,5,5,"Best=100, Worst=0.",99,-,-,-,,
dns_001,DNS,ssphp_use_case_dns_001,No MFA,,DNS 001,,,,,,,,,,,"6.1, 6.5, 8.2, 14.2",-,12.8,,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is the % of all users that have an MFA device associated with their AWS account. Best=100, Worst=0",99,-,-,-,All users should have an MFA device associated with their AWS account.,This use case checks that all users have an MFA device associated with their AWS account.
dns_002,DNS,ssphp_use_case_dns_002,No Policies,,DNS 002,,,,,,,,,,,"6.1, 8.2",-,12.8,,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is the % of all AWS user accounts that have 'acceptable (listed)' policies applied. Best=100, Worst=0",99,-,-,-,All users should have policies associated with their AWS account that are on the agreed 'Policy List'.,This use case tests whether all accounts with access to the DfE AWS DNS servers have 'acceptable' policies applied
dns_003,DNS,ssphp_use_case_dns_003,Cloudtrail Working,,DNS 003,,,,,,,,,,,"6.1, 8.2",8.9,"3.13, 12.8",,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is calculated as the number of recent 15 minute time periods where there were Cloudtrail events logged as a percentage of the total number of 15 minute time periods. So if there are Cloudtrail logs for every 15 minute period in the past 7 days then the score is 100. Best=100, Worst=0",99,-,-,-,Cloudtrail logging should be switched on and correctly delivering logs to Splunk across the AWS estate.,This use case tests whether Cloudtrail logging is switched on and working properly. It measures the health of the Cloudtrail feed over the most recent 7 day period.
dns_004,DNS,ssphp_use_case_dns_004,Accounts in Organization,,DNS 004,,,,,,,,,,,8.2,8.9,-,,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is the % of all AWS accounts that are not part of an 'Organization'. Best=100, Worst=0",99,-,-,-,All AWS accounts should be configured to be in the DfE 'Organisation'.,This use case tests whether all AWS accounts are part of an 'Organisation'
dns_005,DNS,ssphp_use_case_dns_005,DNS = Route53,,DNS 005,,,,,,,,,,,"4.1, 8.2",-,-,,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is calculated as percentage of real-world DNS records that match their equivalent in AWS Route53. Best=100, Worst=0",99,-,-,-,The configuration of DNS servers in the real-world should be the same as that in AWS Route53 at all times.,This use case tests whether what is in Route53 matches what is actually being returned by the DNS server
m365_001_cis_1-1-1,M365,ssphp_use_case_m365_001_cis_1-1-1,AAD Security Defaults, Ensure Security Defaults is disabled on Azure Active Directory,M365 001 [CIS 1.1.1],E3 Level 1,L1,1.1.1,Account / Authentication,"Security defaults in Azure Active Directory (Azure AD) make it easier to be secure and help protect the organization. Security defaults contain preconfigured security settings for common attacks. By default, Microsoft enables security defaults. The goal is to ensure that all organizations have a basic level of security-enabled. The security default setting is manipulated in the Azure Portal. The use of security defaults however, will prohibit custom settings which are being set with more advanced settings from this benchmark.","Security defaults provide secure default settings that are manage on behalf of organizations to keep customers safe until they are ready to manage their own identity security settings. For example doing the following: Requiring all users and admins to register for MFA, Challenging users with MFA - mostly when they show up on a new device or app, but more often for critical roles and tasks, Disabling authentication from legacy authentication clients, which canâ€™t do MFA.","The potential impact associated with disabling of Security Defaults is dependent upon the security controls implemented in the environment. It is likely that most organizations disabling Security Defaults plan to implement equivalent controls to replace Security Defaults. It may be necessary to check settings in other Microsoft products, such as Azure, to ensure settings and functionality are as expected when disabling security defaults for MS365",FALSE,FALSE,FALSE,-,-,-,-,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,17/10/2023 14:08,5,5,"Score is 100 is isEnabled=false, else 0. Best=100, Worst=0.",99,-,-,3,,
m365_001_cis_1-1-10,M365,ssphp_use_case_m365_001_cis_1-1-10,Password Protection for On-Prem AD,Ensure password protection is enabled for on-prem Active Directory,M365 001 [CIS 1.1.10],E3 Level 1,L1,1.1.10,Account / Authentication,"Azure Active Directory (Azure AD) Password Protection provides a global and custom banned password list. A password change request fails if there's a match in these banned password list. To protect on-premises Active Directory Domain Services (AD DS) environment, install and configure Azure AD Password Protection. Note: This recommendation applies to Hybrid deployments only, and will have no impact unless working with on-premises Active Directory.","Azure Active Directory protects an organization by prohibiting the use of weak or leaked passwords. In addition, organizations can create custom banned password lists to prevent their users from using easily guessed passwords that are specific to their industry. Deploying this feature to Active Directory will strengthen the passwords that are used in the environment.","The potential impact associated with implementation of this setting is dependent upon the existing password policies in place in the environment. For environments that have strong password policies in place, the impact will be minimal. For organizations that do not have strong password policies in place, implementation of Azure Active Directory Password Protection may require users to change passwords, and adhere to more stringent requirements than they have been accustomed to.",TRUE,TRUE,TRUE,5.2,5.2,5.2,5.2 Use Unique Passwords,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,2,,
m365_001_cis_1-1-11,M365,ssphp_use_case_m365_001_cis_1-1-11,M365 Block Legacy Authentication,Enable Conditional Access policies to block legacy authentication,M365 001 [CIS 1.1.11],E3 Level 1,L1,1.1.11,Account / Authentication,"Azure AD supports the most widely used authentication and authorization protocols including legacy authentication. This authentication pattern includes basic authentication, a widely used industry-standard method for collecting user name and password information.","Legacy authentication protocols do not support multi-factor authentication. These protocols are often used by attackers because of this deficiency. Blocking legacy authentication makes it harder for attackers to gain access.  NOTE: As of October 2022 Microsoft began disabling basic authentication in all tenants, except for those who requested special exceptions it should no longer be available in most tenants beyond Dec 31, 2022. Despite this CIS recommends the CA policy to remain in place to act as a defense in depth measure.","Enabling this setting will prevent users from connecting with older versions of Office, ActiveSync or using protocols like IMAP, POP or SMTP and may require upgrades to older versions of Office, and use of mobile mail clients that support modern authentication.",FALSE,TRUE,TRUE,-,4.8,4.8,4.8 Uninstall or Disable Unnecessary Services on Enterprise Assets and Software,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-12,M365,ssphp_use_case_m365_001_cis_1-1-12,M365 Password Hash Sync,Ensure that password hash sync is enabled for hybrid deployments,M365 001 [CIS 1.1.12],E3 Level 1,L1,1.1.12,Account / Authentication,"Password hash synchronization is one of the sign-in methods used to accomplish hybrid identity synchronization. Azure AD Connect synchronizes a hash, of the hash, of a user's password from an on-premises Active Directory instance to a cloud-based Azure AD instance.  Note: Audit and remediation procedures in this recommendation only apply to Microsoft 365 tenants operating in a hybrid configuration using Azure AD Connect sync.",Password hash synchronization helps by reducing the number of passwords your users need to maintain to just one and enables leaked credential detection for your hybrid accounts. Leaked credential protection is leveraged through Azure AD Identity Protection and is a subset of that feature which can help identity if an organization's user account passwords have appeared on the dark web or public spaces. Using other options for your directory synchronization may be less resislient as Microsoft can still process sign-ins to 365 with Hash Sync even if a network connection to your on-premises environment is not available.,"Compliance or regulatory restrictions may exist, depending on the organization's business sector, that preclude hashed versions of passwords from being securely transmitted to cloud data centers.",FALSE,TRUE,TRUE,-,6.7,6.7,6.7 Centralize Access Control,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-13,M365,ssphp_use_case_m365_001_cis_1-1-13,Identity Protection Sign-In Risk Policy,Enable Azure AD Identity Protection sign-in risk policies,M365 001 [CIS 1.1.13],E5 Level 2,L2,1.1.13,Account / Authentication,Azure Active Directory Identity Protection sign-in risk detects risks in real-time and offline. A risky sign-in is an indicator for a sign-in attempt that might not have been performed by the legitimate owner of a user account.,Turning on the sign-in risk policy ensures that suspicious sign-ins are challenged for multi-factor authentication.,"When the policy triggers, the user will need MFA to access the account. In the case of a user who hasn't registered MFA on their account, they would be blocked from accessing their account. It is therefore recommended that the MFA registration policy be configured for all users who are a part of the Sign-in Risk policy.",FALSE,TRUE,TRUE,-,13.3,13.3,13.3 Deploy a Network Intrusion Detection Solution,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-14,M365,ssphp_use_case_m365_001_cis_1-1-14,Identity Protection User Risk Policies,Enable Azure AD Identity Protection user risk policies,M365 001 [CIS 1.1.14],E5 Level 2,L2,1.1.14,Account / Authentication,Azure Active Directory Identity Protection user risk policies detect the probability that a user account has been compromised.,"With the user risk policy turned on, Azure AD detects the probability that a user account has been compromised. Administrators can configure a user risk conditional access policy to automatically respond to a specific user risk level.","Upon policy activation, account access will be either blocked or the user will be required to use MFA and change their password. Users without registered MFA will be denied access, necessitating an admin to recover the account. To avoid inconvenience, it is advised to configure the MFA registration policy for all users under the User Risk policy. Additionally, users identified in the Risky Users section will be affected by this policy. To gain a better understanding of the impact to the organization's environment, the list of Risky Users should be reviewed before enforcing the policy",FALSE,TRUE,TRUE,-,13.3,13.3,13.3 Deploy a Network Intrusion Detection Solution,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
