control,safeguard,title,asset_type,ig,description
7,7.7,Remediate Detected Vulnerabilities,Applications,2,"Remediate detected vulnerabilities in software through processes and tooling on a monthly, or more frequent, basis, based on the remediation process."
8,8.1,Establish and Maintain an Audit Log Management Process,Network,1,"Establish and maintain an audit log management process that defines the enterprise's logging requirements. At a minimum, address the collection, review, and retention of audit logs for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
8,8.2,Collect Audit Logs,Network,1,"Collect audit logs. Ensure that logging, per the enterprise's audit log management process, has been enabled across enterprise assets."
8,8.3,Ensure Adequate Audit Log Storage,Network,1,Ensure that logging destinations maintain adequate storage to comply with the enterprise's audit log management process.
8,8.4,Standardize Time Synchronization,Network,2,"Standardize time synchronization. Configure at least two synchronized time sources across enterprise assets, where supported."
8,8.5,Collect Detailed Audit Logs,Network,2,"Configure detailed audit logging for enterprise assets containing sensitive data. Include event source, date, username, timestamp, source addresses, destination addresses, and other useful elements that could assist in a forensic investigation."
8,8.6,Collect DNS Query Audit Logs,Network,2,"Collect DNS query audit logs on enterprise assets, where appropriate and supported."
8,8.7,Collect URL Request Audit Logs,Network,2,"Collect URL request audit logs on enterprise assets, where appropriate and supported."
8,8.8,Collect Command-Line Audit Logs,Devices,2,"Collect command-line audit logs. Example implementations include collecting audit logs from PowerShell, BASH, and remote administrative terminals."
8,8.9,Centralize Audit Logs,Network,2,"Centralize, to the extent possible, audit log collection and retention across enterprise assets."
8,8.10,Retain Audit Logs,Network,2,Retain audit logs across enterprise assets for a minimum of 90 days.
8,8.11,Conduct Audit Log Reviews,Network,2,"Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat. Conduct reviews on a weekly, or more frequent, basis."
8,8.12,Collect Service Provider Logs,Data,3,"Collect service provider logs, where supported. Example implementations include collecting authentication and authorization events, data creation and disposal events, and user management events."
9,9.1,Ensure Use of Only Fully Supported Browsers and Email Clients,Applications,1,"Ensure only fully supported browsers and email clients are allowed to execute in the enterprise, only using the latest version of browsers and email clients provided through the vendor."
9,9.2,Use DNS Filtering Services,Network,1,Use DNS filtering services on all enterprise assets to block access to known malicious domains.
9,9.3,Maintain and Enforce Network-Based URL Filters,Network,2,"Enforce and update network-based URL filters to limit an enterprise asset from connecting to potentially malicious or unapproved websites. Example implementations include category-based filtering, reputation-based filtering, or through the use of block lists. Enforce filters for all enterprise assets."
9,9.4,Restrict Unnecessary or Unauthorized Browser and Email Client Extensions,Applications,2,"Restrict, either through uninstalling or disabling, any unauthorized or unnecessary browser or email client plugins, extensions, and add-on applications."
9,9.5,Implement DMARC,Network,2,"To lower the chance of spoofed or modified emails from valid domains, implement DMARC policy and verification, starting with implementing the Sender Policy Framework (SPF) and the DomainKeys Identified Mail (DKIM) standards."
9,9.6,Block Unnecessary File Types,Network,2,Block unnecessary file types attempting to enter the enterprise's email gateway.
9,9.7,Deploy and Maintain Email Server Anti-Malware Protections,Network,3,"Deploy and maintain email server anti-malware protections, such as attachment scanning and/or sandboxing."
10,10.1,Deploy and Maintain Anti-Malware Software,Devices,1,Deploy and maintain anti-malware software on all enterprise assets.
10,10.2,Configure Automatic Anti-Malware Signature Updates,Devices,1,Configure automatic updates for anti-malware signature files on all enterprise assets.
10,10.3,Disable Autorun and Autoplay for Removable Media,Devices,1,Disable autorun and autoplay auto-execute functionality for removable media.
10,10.4,Configure Automatic Anti-Malware Scanning of Removable Media,Devices,2,Configure anti-malware software to automatically scan removable media.
10,10.5,Enable Anti-Exploitation Features,Devices,2,"Enable anti-exploitation features on enterprise assets and software, where possible, such as Microsoft Data Execution Prevention (DEP), Windows Defender Exploit Guard (WDEG), or Apple System Integrity Protection (SIP) and Gatekeeper."
10,10.6,Centrally Manage Anti-Malware Software,Devices,2,Centrally manage anti-malware software.
10,10.7,Use Behavior-Based Anti-Malware Software,Devices,2,Use behavior-based anti-malware software.
11,11.1,Establish and Maintain a Data Recovery Process,Data,1,"Establish and maintain a data recovery process. In the process, address the scope of data recovery activities, recovery prioritization, and the security of backup data. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
11,11.2,Perform Automated Backups,Data,1,"Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the sensitivity of the data."
11,11.3,Protect Recovery Data,Data,1,"Protect recovery data with equivalent controls to the original data. Reference encryption or data separation, based on requirements."
11,11.4,Establish and Maintain an Isolated Instance of Recovery Data,Data,1,"Establish and maintain an isolated instance of recovery data. Example implementations include version controlling backup destinations through offline, cloud, or off-site systems or services."
11,11.5,Test Data Recovery,Data,2,"Test backup recovery quarterly, or more frequently, for a sampling of in-scope enterprise assets."
12,12.1,Ensure Network Infrastructure is Up-to-Date,Network,1,"Ensure network infrastructure is kept up-to-date. Example implementations include running the latest stable release of software and/or using currently supported network-as-a-service (NaaS) offerings. Review software versions monthly, or more frequently, to verify software support."
12,12.2,Establish and Maintain a Secure Network Architecture,Network,2,"Establish and maintain a secure network architecture. A secure network architecture must address segmentation, least privilege, and availability, at a minimum."
12,12.3,Securely Manage Network Infrastructure,Network,2,"Securely manage network infrastructure. Example implementations include version-controlled-infrastructure-as-code, and the use of secure network protocols, such as SSH and HTTPS."
12,12.4,Establish and Maintain Architecture Diagram(s),Network,2,"Establish and maintain architecture diagram(s) and/or other network system documentation. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
12,12.5,"Centralize Network Authentication, Authorization, and Auditing (AAA)",Network,2,Centralize network AAA.
12,12.6,Use of Secure Network Management and Communication Protocols,Network,2,"Use secure network management and communication protocols (e.g., 802.1X, Wi-Fi Protected Access 2 (WPA2) Enterprise or greater)."
12,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise's AAA Infrastructure,Devices,2,Require users to authenticate to enterprise-managed VPN and authentication services prior to accessing enterprise resources on end-user devices.
12,12.8,Establish and Maintain Dedicated Computing Resources For all Administrative Work,Devices,3,"Establish and maintain dedicated computing resources, either physically or logically separated, for all administrative tasks or tasks requiring administrative access. The computing resources should be segmented from the enterprise's primary network and not be allowed internet access."
13,13.1,Centralize Security Event Alerting,Network,2,"Centralize security event alerting across enterprise assets for log correlation and analysis. Best practice implementation requires the use of a SIEM, which includes vendor-defined event correlation alerts. A log analytics platform configured with security-relevant correlation alerts also satisfies this Safeguard."
13,13.2,Deploy a Host-Based Intrusion Detection Solution,Devices,2,"Deploy a host-based intrusion detection solution on enterprise assets, where appropriate and/or supported."
13,13.3,Deploy a Network Intrusion Detection Solution,Network,2,"Deploy a network intrusion detection solution on enterprise assets, where appropriate. Example implementations include the use of a Network Intrusion Detection System (NIDS) or equivalent cloud service provider (CSP) service."
13,13.4,Perform Traffic Filtering Between Network Segments,Network,2,"Perform traffic filtering between network segments, where appropriate."
13,13.5,Manage Access Control for Remote Assets,Devices,2,Manage access control for assets remotely connecting to enterprise resources. Determine amount of access to enterprise resources based on: up-to-date anti-malware software installed; configuration compliance with the enterprise's secure configuration process; and ensuring the operating system and applications are up-to-date.
13,13.6,Collect Network Traffic Flow Logs,Network,2,Collect network traffic flow logs and/or network traffic to review and alert upon from network devices.
13,13.7,Deploy a Host-Based Intrusion Prevention Solution,Devices,3,"Deploy a host-based intrusion prevention solution on enterprise assets, where appropriate and/or supported. Example implementations include use of an Endpoint Detection and Response (EDR) client or host-based IPS agent."
13,13.8,Deploy a Network Intrusion Prevention Solution,Network,3,"Deploy a network intrusion prevention solution, where appropriate. Example implementations include the use of a Network Intrusion Prevention System (NIPS) or equivalent CSP service."
13,13.9,Deploy Port-Level Access Control,Devices,3,"Deploy port-level access control. Port-level access control utilizes 802.1x, or similar network access control protocols, such as certificates, and may incorporate user and/or device authentication."
13,13.10,Perform Application Layer Filtering,Network,3,"Perform application layer filtering. Example implementations include a filtering proxy, application layer firewall, or gateway."
13,13.11,Tune Security Event Alerting Thresholds,Network,3,"Tune security event alerting thresholds monthly, or more frequently."
14,14.1,Establish and Maintain a Security Awareness Program,N/A,1,"Establish and maintain a security awareness program. The purpose of a security awareness program is to educate the enterprise's workforce on how to interact with enterprise assets and data in a secure manner. Conduct training at hire and, at a minimum, annually. Review and update content annually, or when significant enterprise changes occur that could impact this Safeguard."
14,14.2,Train Workforce Members to Recognize Social Engineering Attacks,N/A,1,"Train workforce members to recognize social engineering attacks, such as phishing, pre-texting, and tailgating."
14,14.3,Train Workforce Members on Authentication Best Practices,N/A,1,"Train workforce members on authentication best practices. Example topics include MFA, password composition, and credential management."
14,14.4,Train Workforce on Data Handling Best Practices,N/A,1,"Train workforce members on how to identify and properly store, transfer, archive, and destroy sensitive data. This also includes training workforce members on clear screen and desk best practices, such as locking their screen when they step away from their enterprise asset, erasing physical and virtual whiteboards at the end of meetings, and storing data and assets securely."
14,14.5,Train Workforce Members on Causes of Unintentional Data Exposure,N/A,1,"Train workforce members to be aware of causes for unintentional data exposure. Example topics include mis-delivery of sensitive data, losing a portable end-user device, or publishing data to unintended audiences."
14,14.6,Train Workforce Members on Recognizing and Reporting Security Incidents,N/A,1,Train workforce members to be able to recognize a potential incident and be able to report such an incident.
14,14.7,Train Workforce on How to Identify and Report if Their Enterprise Assets are Missing Security Updates,N/A,1,Train workforce to understand how to verify and report out-of-date software patches or any failures in automated processes and tools. Part of this training should include notifying IT personnel of any failures in automated processes and tools.
14,14.8,Train Workforce on the Dangers of Connecting to and Transmitting Enterprise Data Over Insecure Networks,N/A,1,"Train workforce members on the dangers of connecting to, and transmitting data over, insecure networks for enterprise activities. If the enterprise has remote workers, training must include guidance to ensure that all users securely configure their home network infrastructure."
14,14.9,Conduct Role-Specific Security Awareness and Skills Training,N/A,2,"Conduct role-specific security awareness and skills training. Example implementations include secure system administration courses for IT professionals, (OWASP's Top 10 vulnerability awareness and prevention training for web application developers, and advanced social engineering awareness training for high-profile roles."
15,15.1,Establish and Maintain an Inventory of Service Providers,N/A,1,"Establish and maintain an inventory of service providers. The inventory is to list all known service providers, include classification(s), and designate an enterprise contact for each service provider. Review and update the inventory annually, or when significant enterprise changes occur that could impact this Safeguard."
15,15.2,Establish and Maintain a Service Provider Management Policy,N/A,2,"Establish and maintain a service provider management policy. Ensure the policy addresses the classification, inventory, assessment, monitoring, and decommissioning of service providers. Review and update the policy annually, or when significant enterprise changes occur that could impact this Safeguard."
15,15.3,Classify Service Providers,N/A,2,"Classify service providers. Classification consideration may include one or more characteristics, such as data sensitivity, data volume, availability requirements, applicable regulations, inherent risk, and mitigated risk. Update and review classifications annually, or when significant enterprise changes occur that could impact this Safeguard."
15,15.4,Ensure Service Provider Contracts Include Security Requirements,N/A,2,"Ensure service provider contracts include security requirements. Example requirements may include minimum security program requirements, security incident and/or data breach notification and response, data encryption requirements, and data disposal commitments. These security requirements must be consistent with the enterprise's service provider management policy. Review service provider contracts annually to ensure contracts are not missing security requirements."
15,15.5,Assess Service Providers,N/A,3,"Assess service providers consistent with the enterprise's service provider management policy. Assessment scope may vary based on classification(s), and may include review of standardized assessment reports, such as Service Organization Control 2 (SOC 2) and Payment Card Industry (PCI) Attestation of Compliance (AoC), customized questionnaires, or other appropriately rigorous processes. Reassess service providers annually, at a minimum, or with new and renewed contracts."
15,15.6,Monitor Service Providers,Data,3,"Monitor service providers consistent with the enterprise's service provider management policy. Monitoring may include periodic reassessment of service provider compliance, monitoring service provider release notes, and dark web monitoring."
15,15.7,Securely Decommission Service Providers,Data,3,"Securely decommission service providers. Example considerations include user and service account deactivation, termination of data flows, and secure disposal of enterprise data within service provider systems."
16,16.1,Establish and Maintain a Secure Application Development Process,Applications,2,"Establish and maintain a secure application development process. In the process, address such items as: secure application design standards, secure coding practices, developer training, vulnerability management, security of third-party code, and application security testing procedures. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
16,16.2,Establish and Maintain a Process to Accept and Address Software Vulnerabilities,Applications,2,"Establish and maintain a process to accept and address reports of software vulnerabilities, including providing a means for external entities to report. The process is to include such items as: a vulnerability handling policy that identifies reporting process, responsible party for handling vulnerability reports, and a process for intake, assignment, remediation, and remediation testing. As part of the process, use a vulnerability tracking system that includes severity ratings, and metrics for measuring timing for identification, analysis, and remediation of vulnerabilities. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard. Third-party application developers need to consider this an externally-facing policy that helps to set expectations for outside stakeholders."
16,16.3,Perform Root Cause Analysis on Security Vulnerabilities,Applications,2,"Perform root cause analysis on security vulnerabilities. When reviewing vulnerabilities, root cause analysis is the task of evaluating underlying issues that create vulnerabilities in code, and allows development teams to move beyond just fixing individual vulnerabilities as they arise."
16,16.4,Establish and Manage an Inventory of Third-Party Software Components,Applications,2,"Establish and manage an updated inventory of third-party components used in development, often referred to as a bill of materials, as well as components slated for future use.This inventory is to include any risks that each third-party component could pose.Evaluate the list at least monthly to identify any changes or updates to these components, and validate that the component is still supported."
16,16.5,Use Up-to-Date and Trusted Third-Party Software Components,Applications,2,"Use up-to-date and trusted third-party software components. When possible, choose established and proven frameworks and libraries that provide adequate security.Acquire these components from trusted sources or evaluate the software for vulnerabilities before use."
16,16.6,Establish and Maintain a Severity Rating System and Process for Application Vulnerabilities,Applications,2,Establish and maintain a severity rating system and process for application vulnerabilities that facilitates prioritizing the order in which discovered vulnerabilities are fixed. This process includes setting a minimum level of security acceptability for releasing code or applications. Severity ratings bring a systematic way of triaging vulnerabilities that improves risk management and helps ensure the most severe bugs are fixed first. Review and update the system and process annually.
16,16.7,Use Standard Hardening Configuration Templates for Application Infrastructure,Applications,2,"Use standard, industry-recommended hardening configuration templates for application infrastructure components. This includes underlying servers, databases, and web servers, and applies to cloud containers, Platform as a Service (PaaS) components, and SaaS components. Do not allow in-house developed software to weaken configuration hardening."
16,16.8,Separate Production and Non-Production Systems,Applications,2,Maintain separate environments for production and non-production systems.
16,16.9,Train Developers in Application Security Concepts and Secure Coding,Applications,2,"Ensure that all software development personnel receive training in writing secure code for their specific development environment and responsibilities. Training can include general security principles and application security standard practices. Conduct training at least annually and design in a way to promote security within the development team, and build a culture of security among the developers."
16,16.10,Apply Secure Design Principles in Application Architectures,Applications,2,"Apply secure design principles in application architectures. Secure design principles include the concept of least privilege and enforcing mediation to validate every operation that the user makes, promoting the concept of ""never trust user input."" Examples include ensuring that explicit error checking is performed and documented for all input, including for size, data type, and acceptable ranges or formats. Secure design also means minimizing the application infrastructure attack surface, such as turning off unprotected ports and services, removing unnecessary programs and files, and renaming or removing default accounts."
16,16.11,Leverage Vetted Modules or Services for Application Security Components,Applications,2,"Leverage vetted modules or services for application security components, such as identity management, encryption, and auditing and logging. Using platform features in critical security functions will reduce developers workload and minimize the likelihood of design or implementation errors. Modern operating systems provide effective mechanisms for identification, authentication, and authorization and make those mechanisms available to applications. Use only standardized, currently accepted, and extensively reviewed encryption algorithms. Operating systems also provide mechanisms to create and maintain secure audit logs."
16,16.12,Implement Code-Level Security Checks,Applications,3,Apply static and dynamic analysis tools within the application life cycle to verify that secure coding practices are being followed.
16,16.13,Conduct Application Penetration Testing,Applications,3,"Conduct application penetration testing. For critical applications, authenticated penetration testing is better suited to finding business logic vulnerabilities than code scanning and automated security testing.Penetration testing relies on the skill of the tester to manually manipulate an application as an authenticated and unauthenticated user."
16,16.14,Conduct Threat Modeling,Applications,3,"Conduct threat modeling. Threat modeling is the process of identifying and addressing application security design flaws within a design, before code is created. It is conducted through specially trained individuals who evaluate the application design and gauge security risks for each entry point and access level. The goal is to map out the application, architecture, and infrastructure in a structured way to understand its weaknesses."
17,17.1,Designate Personnel to Manage Incident Handling,N/A,1,"Designate one key person, and at least one backup, who will manage the enterprise's incident handling process. Management personnel are responsible for the coordination and documentation of incident response and recovery efforts and can consist of employees internal to the enterprise, third-party vendors, or a hybrid approach. If using a third-party vendor, designate at least one person internal to the enterprise to oversee any third-party work. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17,17.2,Establish and Maintain Contact Information for Reporting Security Incidents,N/A,1,"Establish and maintain contact information for parties that need to be informed of security incidents. Contacts may include internal staff, third-party vendors, law enforcement, cyber insurance providers, relevant government agencies, Information Sharing and Analysis Center (ISAC) partners, or other stakeholders. Verify contacts annually to ensure that information is up-to-date."
